title,artists
Pokémon - Galactic Battles - Battle Cry - (Stand Up!) [Full Theme],SureTadpole
LA BABY (feat. Sech),"Tainy, Daddy Yankee, Feid"
LA BABY (feat. Sech),"Tainy, Daddy Yankee, Feid"
Tory Lanez - Hurts Me (Alone at Prom),jjayen
my magic is never giving up. - r.i.p (guitar remix),qaido
He meant every single word x Immortal (slowed & reverb),Zane
Turn Me On Hardstyle,Local Gym Bro
LISA - MONEY (RiPA Remix),Trap Music  
Maps (Hardstyle Long Version)🔱,Zyzz Jim
Bad Romance (Hardstyle),gnarly
Body (feat. $atori Zoom),Lil Bunbuns
joji - you suck charlie,anna gold
Dont Stop The Music Hardstyle,Local Gym Bro
LOCK OUT (feat. Kalono),$atori Zoom
Only Girl (Dionysus & Tevvez Remix),Dionysus
Hunter X Hunter Remix - Riot | Hip Hop / Trap | [Musicality Remix],Musicality
Feel So Close x Roses x Summer x I Love It MASHUP,Electronify
"罠 featuring SOIL&""PIMP""SESSIONS - WANA featuring SOIL&""PIMP"" SESSIONS (feat. SOIL&""PIMP""SESSIONS)",boku no lyric no bouyomi
daft punk-around the world(slowed + reverb),Nuitforever.
The Notorious B.I.G. - I WANNA GO TO HELL (westcoastsavage x steelo remix),IDLEGLANCE
veil,Keina Suda
Redbone (feat. The Notorious B.I.G. & 2Pac),damnJonah
Intoxicated (feat. Ivri),Lomode
Canada (feat. Alessia Cara),Lauv
Joke (feat. Vict Molina & Keagan),Zaini
"Lofi Manifesto (feat. Resident, Thomas Reid, Jomie & Laeland)",Fudasca
sad songs for sad people (yaeow sad music mix),Aurora Vibes
Like I'm Dead (feat. Anton Líni & Elijah Midjord),Ouse
Joke (feat. Vict Molina & Keagan),Zaini
Television (feat. Mick Jenkins),Kenny Shane
Thief - Sarcastic Sounds Lyrics,krabo forever
Bitter (feat. sad alex),Yoe Mase
Viktoria Liv - 6 AM in Toronto (Lyrics),Aminium Music
SEA - i can't take it back (ft. yaeow),the bootleg boy
I Like U (feat. Sami),Addict.
do you think of me? ~ sad lofi mix,the bootleg boy 2
THAISUB︱YIORGOS - Cuff,มหาวิทลายัย
chillintrash - cold.,the bootleg boy
ＬＯＮＥＬＹ ＆ ＳＡＤ,the bootleg boy
perfectly wrong (feat. Vict Molina),NÜ
Atlas in Motion - long time (Lyrics) feat. INTRN,Aminium Music
swtvlly - nicole,the bootleg boy
i'm lost without you.,the bootleg boy
nips. - poison,the bootleg boy
Caleb Belkin - Water (Extended version),KIKI BOMB
Zaini - wherever you would call me (Lyrics / Lyric Video),Chill Only
Was I Not Good Enough? (feat. Mia Smith),omarr
Space Cowboy.. Jazz inspired LoFi mix,huwanito
nobody loves me ~ sad lofi mix,the bootleg boy 2
All Again (feat. Snøw),"Powfu, Nuxe"
m e m o r i e s  - a lofi hip hop avatar mix,CloudlyLofi
i love you but i can't love myself,the bootleg boy
The Last Airbender ☯ Lofi Hiphop Mix,Ambition
timmies // again (ft. shiloh) «Lyrics»,unknown human
beowulf - savior,the bootleg boy
"Top 50 Songs This Week - June 21, 2018 (Spotify Global)",SuperMusicazz
Greatest Freestyle Of All Time,Logic
Kid Singing in Walmart (Lowercase EDM Remix),PRISM
The Justice League is SAD | Music Video,Smosh
"Top 50 Songs This Week - December 7, 2017 (Spotify Global)",SuperMusicazz
"Top 50 Songs This Week - December 16, 2017 (Hot 100)",SuperMusicazz
"Top 50 Songs This Week - November 2, 2017 (Spotify Global)",SuperMusicazz
Logic - Young Sinatra III (Official Music Video),Visionary Music Group
Rockabye – Clean Bandit ft. Anne Marie | Lawrence Park Smule Duet,Lawrence Park Music
RiceGum - Its EveryNight Sis feat. Alissa Violet (Official Music Video),RiceGum
Overwatch Gun Sync - Despacito,ItsTrain
Marshmello On Tour: #4 - Europe,Marshmello
GLEE - Smooth Criminal (Full Performance) (Official Music Video) HD,"Being part of something special, makes you special! ♥"
Kid Kasino & Dutty Moonshine - Everybody,Kid Kasino
Nomedbeats - Naruto Blue Bird Hip Hop remix,AnimeVibe
Lamborghini (feat. P. Money) (feat. P Money),KSI
RAGE QUIT!!! RAP BATTLE,Jesse Wellens
Cookie Dance,ChipChocolate
Without You (feat. Brenton Mattheus),Tacacho
Diplo - Revolution [SEAN&BOBO Remix],Trap Nation
"♫""Santa Claus is Running This Town""♫ A Minecraft Parody (Animated Music Video)",Sky Does Everything
YouTube Rewind: Now Watch Me 2015 | #YouTubeRewind,YouTube
"Minecraft Song ♪ ""Talking Zombies"" a Minecraft Song Parody (Minecraft Animation)",Vikkstar123HD
"""Fallen Kingdom"" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video)",CaptainSparklez
Too Late to Apologize: A Declaration,Soomo
